Name of the school,Addition,Subtraction,Multiplication,Division
GLPS  ANKANA SETTY MOLE,0,1,0,0
GLPS  HEBACHALLI,1,1,0,1
GLPS DEMAHALLI MOLE,1,1,0,0
GLPS DEMAHALLI MOLE,1,1,0,0
GLPS DEMAHALLI MOLE,1,1,0,0
GHPS  MUDALA AGRAHARA,0,0,0,0
GHPS  MUDALA AGRAHARA,1,0,0,0
GHPS  MUDALA AGRAHARA,1,1,0,1
GHPS  BANAHALLI,1,0,0,0
GHPS  BANAHALLI,0,1,0,0
GHPS  BANAHALLI,1,0,0,0
GHPS  BANAHALLI,1,0,0,0
GHPS  BANAHALLI,0,0,0,0
GHPS  BANAHALLI,1,1,0,1
GHPS DEMAHALLI,0,0,0,0
GHPS DEMAHALLI,1,1,0,1
GHPS DEMAHALLI,1,1,0,0
GHPS DEMAHALLI,0,0,0,0
GHPS DEMAHALLI,1,1,0,1
GHPS DEMAHALLI,0,1,0,1
GHPS DEMAHALLI,0,0,0,0
GHPS  KAMARA VADI,0,0,0,0
GHPS  KAMARA VADI,1,0,0,0
GHPS  KAMARA VADI,1,0,0,0
GHPS  KAMARA VADI,1,1,0,0
GHPS  KAMARA VADI,1,0,0,1
GLPS THUMMALAPALLI,1,1,1,1
GLPS THUMMALAPALLI,1,1,1,1
GLPS VEMPALLI,1,1,1,1
GLPS VEMPALLI,1,1,0,1
GLPS NEELAPALLI,1,1,0,0
GOVERNMENT LOWER PRIMARY SCHOOL BODIGUNDLAPALLI,0,1,0,1
GOVERNMENT LOWER PRIMARY SCHOOL BODIGUNDLAPALLI,1,1,1,1
GOVERNMENT LOWER PRIMARY SCHOOL BODIGUNDLAPALLI,0,1,1,1
GOVERNMENT LOWER PRIMARY SCHOOL KOTHAPALLI,1,1,0,1
GOVERNMENT LOWER PRIMARY SCHOOL KOTHAPALLI,0,1,0,0
GLPS NEELAPALLI,0,0,0,0
GLPS NEELAPALLI,1,1,0,0
GLPS DIGAVAKOTE,0,0,0,0
GLPS VEMPALLI,1,1,1,1
GOVERNMENT LOWER PRIMARY SCHOOL DIGAVAPALLI,1,0,1,1
GLPS NEELAPALLI,0,0,0,0
GHPS PEDDUR,1,1,0,1
GOVERNMENT LOWER PRIMARY SCHOOL GOWNICHERUVAPALLI,0,0,0,0
GOVERNMENT LOWER PRIMARY SCHOOL KOTHAPALLI,1,0,0,0
GLPS DIGAVAKOTE,0,0,0,0
GLPS THUMMALAPALLI,1,1,0,1
GOVERNMENT LOWER PRIMARY SCHOOL KORAKONAHALLI,1,1,0,0
GOVERNMENT LOWER PRIMARY SCHOOL BODIGUNDLAPALLI,1,1,0,0
GLPS VEMPALLI,1,1,0,1
GOVERNMENT LOWER PRIMARY SCHOOL BODIGUNDLAPALLI,0,1,0,1
GOVERNMENT LOWER PRIMARY SCHOOL DIGAVAPALLI,1,1,0,0
GLPS PATHAKOTE,1,0,1,1
GLPS THUMMALAPALLI,1,1,1,1
GOVERNMENT LOWER PRIMARY SCHOOL BODIGUNDLAPALLI,1,1,0,1
GOVERNMENT LOWER PRIMARY SCHOOL BODIGUNDLAPALLI,1,1,0,1
GOVERNMENT LOWER PRIMARY SCHOOL DIGAVAPALLI,1,0,1,0
GOVERNMENT LOWER PRIMARY SCHOOL GOWNICHERUVAPALLI,1,0,0,0
GLPS DIGAVAKOTE,1,0,0,1
GOVERNMENT LOWER PRIMARY SCHOOL DIGAVAPALLI,1,1,1,1
GOVERNMENT LOWER PRIMARY SCHOOL GOWNICHERUVAPALLI,1,1,0,0
GOVERNMENT LOWER PRIMARY SCHOOL DIGAVAPALLI,1,1,0,0
GOVERNMENT LOWER PRIMARY SCHOOL KOTHAPALLI,1,1,0,0
GOVERNMENT LOWER PRIMARY SCHOOL KOTHAPALLI,1,1,0,0
GMHPS BHARAMASAGARA,1,1,1,1
GMHPS BHARAMASAGARA,1,1,0,1
GMHPS BHARAMASAGARA,1,1,1,1
GMHPS BHARAMASAGARA,1,0,1,1
GMHPS BHARAMASAGARA,0,1,1,1
GMHPS BHARAMASAGARA,1,1,0,1
GMHPS BHARAMASAGARA,1,0,0,0
GMHPS BHARAMASAGARA,1,1,0,0
GMHPS BHARAMASAGARA,0,1,0,0
GMHPS BHARAMASAGARA,0,1,0,0
GMHPS BHARAMASAGARA,1,1,0,0
GMHPS BHARAMASAGARA,0,1,0,0
GMHPS BHARAMASAGARA,1,1,0,1
GMHPS BHARAMASAGARA,1,0,0,1
GMHPS BHARAMASAGARA,0,1,0,0
GMHPS BHARAMASAGARA,1,1,0,0
GMHPS BHARAMASAGARA,1,0,0,0
GMHPS BHARAMASAGARA,0,0,0,0
GMHPS BHARAMASAGARA,1,1,0,0
GMHPS BHARAMASAGARA,1,1,0,0
GMHPS BHARAMASAGARA,1,1,0,1
GMHPS BHARAMASAGARA,1,0,0,1
GMHPS BHARAMASAGARA,1,1,0,0
GMHPS BHARAMASAGARA,1,1,0,1
GMHPS BHARAMASAGARA,1,0,0,1
GMHPS BHARAMASAGARA,0,0,0,0
GMHPS BHARAMASAGARA,1,0,0,0
GMHPS BHARAMASAGARA,1,1,0,0
GMHPS BHARAMASAGARA,1,0,0,1
GMHPS BHARAMASAGARA,1,1,0,1
GMHPS BHARAMASAGARA,1,0,0,0
GMHPS BHARAMASAGARA,1,0,1,1
GMHPS BHARAMASAGARA,1,0,0,0
GMHPS BHARAMASAGARA,1,0,0,0
GMHPS BHARAMASAGARA,1,0,0,0
GMHPS BHARAMASAGARA,1,1,0,1
GMHPS BHARAMASAGARA,1,0,0,0
GMHPS BHARAMASAGARA,1,1,0,0
GMHPS BHARAMASAGARA,1,0,0,0
GMHPS BHARAMASAGARA,1,0,0,0
GMHPS BHARAMASAGARA,0,0,0,0
GMHPS BHARAMASAGARA,1,0,0,0
GMHPS BHARAMASAGARA,1,0,0,0
GMHPS BHARAMASAGARA,0,0,0,0
GMHPS BHARAMASAGARA,1,0,0,0
GMHPS BHARAMASAGARA,0,1,1,1
GMHPS BHARAMASAGARA,1,1,0,0
GMHPS BHARAMASAGARA,1,0,0,0
GMHPS BHARAMASAGARA,1,1,0,0
GMHPS BHARAMASAGARA,1,1,0,0
GHPS BEVINAHALLI,1,1,0,1
GHPS BEVINAHALLI,0,0,0,0
GHPS BEVINAHALLI,1,1,0,0
GHPS BEVINAHALLI,0,0,0,0
GHPS BEVINAHALLI,0,0,0,0
GHPS BEVINAHALLI,1,0,1,0
GHPS BEVINAHALLI,0,0,0,0
GHPS BEVINAHALLI,1,1,0,0
GHPS BEVINAHALLI,1,1,0,0
GHPS BEVINAHALLI,1,1,0,0
GHPS BEVINAHALLI,1,1,0,0
GHPS BEVINAHALLI,1,1,0,0
GHPS BEVINAHALLI,0,0,0,0
GHPS BEVINAHALLI,0,1,0,0
GLPS AK COLONY,1,0,0,1
GLPS BARAMASAGARA GOLLARAHATTI,1,1,0,0
GLPS BARAMASAGARA GOLLARAHATTI,1,1,0,0
GMHPS BHARAMASAGARA,1,0,0,0
GMHPS BHARAMASAGARA,0,0,0,0
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,0,1
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,1,1
GMCS JANTLI SHIRUR,1,1,0,1
GHPKGS SHIRUR,0,1,1,1
GHPKGS SHIRUR,1,1,1,1
GHPKGS SHIRUR,1,1,0,1
GHPKGS SHIRUR,1,1,1,1
GHPKGS SHIRUR,1,1,1,1
GHPKGS SHIRUR,0,0,0,0
GHPKGS SHIRUR,1,1,1,1
GHPKGS SHIRUR,1,1,1,1
GHPKGS SHIRUR,1,1,1,1
GHPKGS SHIRUR,1,1,1,1
GHPKGS SHIRUR,1,1,1,1
GHPKGS SHIRUR,1,1,1,1
GHPKGS SHIRUR,1,1,1,0
GHPKGS SHIRUR,1,1,1,1
GHPKGS SHIRUR,1,1,1,1
GHPKGS SHIRUR,1,1,1,1
GHPKGS SHIRUR,1,1,1,1
GHPKGS SHIRUR,0,1,1,1
GHPKGS SHIRUR,1,1,1,1
GHPKGS SHIRUR,1,1,1,1
GHPKGS SHIRUR,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL HANCHINAL U,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL HANCHINAL U,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KANUR,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KANUR,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KANUR,1,1,1,1
